original_title,overview,popularity,release_date,title,vote_average,vote_count
Leprechaun 4: In Space,"On a planet in a distant galaxy, a power hungry Leprechaun, holds a beautiful alien princess hostage in order to marry her for her royal title. With her title and his beloved gold, he'll be able to rule the universe. While making his maniacal plans, what he doesn't count on is an invading platoon of marines from Earth, to save the princess and foil his plans. An accomplished trickster, the Leprechaun stows himself away on the orbiting spaceship and wreaks havoc on the crew in an attempt to recapture his bride.",15.514,1996-12-25,Leprechaun 4: In Space,4.6,181
Videodrome,"As the president of a trashy TV channel, Max Renn is desperate for new programming to attract viewers. When he happens upon ""Videodrome,"" a TV show dedicated to gratuitous torture and punishment, Max sees a potential hit and broadcasts the show on his channel. However, after his girlfriend auditions for the show and never returns, Max investigates the truth behind Videodrome and discovers that the graphic violence may not be as fake as he thought.",13.863,1983-02-04,Videodrome,7.3,1879
La Llorona,"While vacationing in Mexico, a couple discovers their son's disappearance is tied to a supernatural curse.",15.188,2022-01-07,The Legend of La Llorona,4.7,38
Eraserhead,"First time father Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child.",15.862,1977-03-19,Eraserhead,7.4,2124
Casualties of War,"During the Vietnam War, a soldier finds himself the outsider of his own squad when they unnecessarily kidnap a female villager.",13.112,1989-08-18,Casualties of War,7.2,757
아들의 여친 아빠의 여친,"Dong-gook, who is thinking of remarrying, introduces his stepmother Kyeong-sook to his son Jin-yeong. At the family gathering, Jin-yeong is surprised to see his stepmother's younger brother Hyeon-sook who was his one-night stand just a few days ago! Jin-yeong and his stepmother is lying down, drunk. Meanwhile, there is a strange atmosphere between Dong-gook and Hyeon-sook, who were drinking alone, and at that moment Jin-yeong's girlfriend Joo-yeon appears drunk.",11.781,2020-11-13,"Son's Girlfriend, Daddy's Girlfriend",0.0,0
The Land Before Time IX: Journey to Big Water,"Littlefoot befriends with a mysterious, fun-loving dolphin-like creature named Mo, who is trapped in ""new water"" caused by heavy rain. The gang then goes on an adventure to the ""big water"" to bring Mo home.",12.763,2002-12-17,The Land Before Time IX: Journey to Big Water,6.3,187
Begin Again,"Gretta, a budding songwriter, finds herself alone after her boyfriend Dave ditches her. Her life gains purpose when Dan, a record label executive, notices her talent.",14.666,2013-09-07,Begin Again,7.2,3491
Phantom,"The haunted Captain of a Soviet submarine holds the fate of the world in his hands. Forced to leave his family behind, he is charged with leading a covert mission cloaked in mystery.",12.265,2013-01-03,Phantom,5.8,269
Against All Odds,"She was a beautiful fugitive. Fleeing from corruption. From power. He was a professional athlete past his prime. Hired to find her, he grew to love her. Love turned to obsession. Obsession turned to murder. And now the price of freedom might be nothing less than their lives.",13.51,1984-03-02,Against All Odds,5.6,150
Legends of Oz: Dorothy's Return,"Dorothy wakes up in post-tornado Kansas, only to be whisked back to Oz to try to save her old friends the Scarecrow, the Lion, the Tin Man and Glinda from a devious new villain, the Jester. Wiser the owl, Marshal Mallow, China Princess and Tugg the tugboat join Dorothy on her latest magical journey through the colorful landscape of Oz to restore order and happiness to Emerald City.",15.264,2014-05-08,Legends of Oz: Dorothy's Return,6.4,335
El buen patrón,"Julio Blanco is the proprietor of Básculas Blanco, a Spanish company producing industrial scales in a provincial Spanish town, which awaits the imminent visit from a committee that will decide if they merit a local Business Excellence award: everything has to be perfect when the time comes. Working against the clock, Blanco pulls out all the stops to address and resolve issues with his employees, crossing every imaginable line in the process.",18.757,2021-10-15,The Good Boss,7.1,304
Pete's Dragon,"For years, old wood carver Mr. Meacham has delighted local children with his tales of the fierce dragon that resides deep in the woods of the Pacific Northwest. To his daughter, Grace, who works as a forest ranger, these stories are little more than tall tales... until she meets Pete, a mysterious 10-year-old with no family and no home who claims to live in the woods with a giant, green dragon named Elliott. And from Pete's descriptions, Elliott seems remarkably similar to the dragon from Mr. Meacham's stories. With the help of Natalie, an 11-year-old girl whose father Jack owns the local lumber mill, Grace sets out to determine where Pete came from, where he belongs, and the truth about this dragon.",18.757,2016-08-10,Pete's Dragon,6.4,2035
The Rite,"Seminary student Michael Kovak reluctantly attends exorcism school at the Vatican. While he’s in Rome, Michael meets an unorthodox priest who introduces him to the darker side of his faith, uncovering the devil’s reach even to one of the holiest places on Earth.",16.413,2011-01-28,The Rite,6.1,1893
La migliore offerta,"Virgil Oldman is a world renowned antiques expert and auctioneer. An eccentric genius, he leads a solitary life, going to extreme lengths to keep his distance from the messiness of human relationships. When appointed by the beautiful but emotionally damaged Claire to oversee the valuation and sale of her family’s priceless art collection, Virgil allows himself to form an attachment to her – and soon he is engulfed by a passion which will rock his bland existence to the core.",11.763,2013-01-01,The Best Offer,7.8,2598
The Pirates! In an Adventure with Scientists!,"The luxuriantly bearded Pirate Captain is a boundlessly enthusiastic, if somewhat less-than-successful, terror of the High Seas. With a rag-tag crew at his side, and seemingly blind to the impossible odds stacked against him, the Captain has one dream: to beat his bitter rivals Black Bellamy and Cutlass Liz to the much coveted Pirate of the Year Award. It’s a quest that takes our heroes from the shores of exotic Blood Island to the foggy streets of Victorian London. Along the way they battle a diabolical queen and team up with a haplessly smitten young scientist, but never lose sight of what a pirate loves best: adventure!",14.262,2012-03-12,The Pirates! In an Adventure with Scientists!,6.4,951
2046,Women enter and exit a science fiction author's life over the course of a few years after the author loses the woman he considers his one true love.,13.51,2005-04-04,2046,7.2,739
Scipio,The start of Resistance fighter Scipio's journey in his struggle against the evil dictator Hannibal.,8.915,2023-06-09,Scipio,0.0,0
花開富貴,,10.167,2023-06-09,All Money Back Me Home,0.0,0
冰封俠：重生之門,"In the Ming Dynasty, there lives four orphans, Ying, Sao, Yuanlong and Niehu. Raised in Taoyuan Village, the four are as closed as brothers. Their exceptional martial arts skills allows them to reach the highest rank within the imperial guards. After the four successfully killed the Japanese troop leader, the Emperor orders Ying to escort the Golden Wheel of Time from Sindu (now India) back to the capital, which is said to have the power of time travel and foresee into the future.  Now in 2013, Squire Tang, funded by a mysterious financer, digs up three ancient icemen from the outskirt of China; they are Ying, Sao and Niehu. As he is transferring the icemen to Hong Kong for further studies, the vehicle involves in a traffic accident which, unexpectedly, defrosts Ying...",12.763,2014-04-17,Iceman,5.5,175
Death Wish II,Paul Kersey is again a vigilante trying to find five punks who murdered his housekeeper and daughter in Los Angeles.,15.509,1982-02-20,Death Wish II,6.3,371
Ice Princess,"With the help of her coach, her mom, and the boy who drives the Zamboni machine, nothing can stop Casey from realizing her dream to be a champion figure skater.",9.759,2005-03-17,Ice Princess,6.4,819
クレオパトラ,"Three people from the future, who travel spiritually to the era of the Egyptian queen Cleopatra VII Philopator and her Roman lovers Julius Caesar and Mark Antony, become their closest friends as they try to unravel the nature of the plan developed in their own time by a sinister enemy.",13.658,1970-09-15,Cleopatra: Queen of Sex,5.9,30
El Crimen del Padre Amaro,"Sent to Mexico to help take care of aging Father Benito, young Father Amaro faces a moral challenge when he meets a 16-year-old girl who he starts an affair with. Likewise, the girl's mother had been having an affair with Father Benito. Father Amaro must choose between a holy or sinful life.",11.259,2002-10-01,The Crime of Padre Amaro,6.6,234
